         140802 function calls (136090 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base.py:52(BaseCache)
        1    0.000    0.000    0.000    0.000 base.py:53(Serializer)
        1    0.000    0.000    0.000    0.000 base.py:650(FilterExpression)
        1    0.000    0.000    0.000    0.000 base.py:66(ConcatPair)
        1    0.000    0.000    0.000    0.000 base.py:7(Cast)
        1    0.000    0.000    0.000    0.000 base.py:78(ModelBase)
        1    0.000    0.000    0.000    0.000 base.py:782(Variable)
        1    0.000    0.000    0.000    0.000 base.py:8(SerializerDoesNotExist)
        1    0.000    0.000    0.000    0.000 base.py:82(__new__)
        1    0.000    0.000    0.000    0.000 base.py:87(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:940(Node)
        1    0.000    0.000    0.000    0.000 base.py:985(NodeList)
        1    0.000    0.000    0.000    0.000 base.py:99(Concat)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 baseconv.py:38(<module>)
        1    0.000    0.000    0.000    0.000 baseconv.py:48(BaseConverter)
        6    0.000    0.000    0.000    0.000 baseconv.py:51(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.025    0.025 boundfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boundfield.py:21(BoundField)
        1    0.000    0.000    0.000    0.000 bz2.py:31(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cache.py:18(<module>)
        1    0.000    0.000    0.002    0.002 caches.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:488(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:49(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:500(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:531(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:69(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.021    0.021 cgi.py:16(<module>)
        1    0.000    0.000    0.000    0.000 cgi.py:337(MiniFieldStorage)
        1    0.000    0.000    0.000    0.000 cgi.py:362(FieldStorage)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        4    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1221(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1271(HTTPException)
